appid,name,description,price,release_date,developer,publisher,tags
1397050,Square vs Triangles,Square vs Triangles is a old school 2D platformer with a minimalistic and beautiful art style and challenging gameplay mechanics inspired by 90's classics.,₹ 52,"21 Oct, 2020",Tribial Games,Tribial Games,"Action, Adventure, Indie"
1397060,Little Brother's Turn,"Relive the good old days of being forced to watch your sibling play YOUR games with this uber-frustrating, procedurally generated platformer.",₹ 125,"3 Jan, 2021",Mindmill Studios,Mindmill Studios,"Casual, Indie"
1397110,Harthorn,"It's winter break 1994 and schools out at Harthorn High School, but not all is silent in its empty classrooms and dark hallways...",₹ 200,"27 Oct, 2020",Vincent Lade,Vincent Lade,"Action, Adventure, Casual, Indie"
1397130,Primateria,"Embark on an epic journey in Primateria, a game redefining the roguelike deckbuilder with a nod to classic Yu-Gi-Oh! experience. Fuse cards, battle divine beings, and navigate through a universe teeming with challenges and surprises. Embrace the thrill of endless combinations and tactical depths.",₹ 570,"8 Jan, 2024",Yfrit Games,Surefire.Games,"Adventure, Indie, Strategy"
1397140,The Last Show of Mr. Chardish: Act I,"Let’s the show begin! “The Last Show of Mr. Chardish: Act I” is a prologue of “The Last Show of Mr. Chardish” full game. Together with the Actress Ella, embark on a journey through the past and discover the secrets left by the brilliant Director in his magical performances.",N/A,"3 Sep, 2020",Punk Notion,Anshar Publishing,"Action, Adventure, Casual, Indie"
1397160,Pulut Adventure RPG,"The current demon king feels tired, so... &quot;The Demon King Contest&quot; is start. This news spread throughout the entire monster world, so as an ordinary slime decided to go on the adventure and becoming a demon king.",₹ 300,"10 Sep, 2020",yayapipi,Yayapipi Studio,"Action, Adventure, Casual, Indie, RPG"
1397170,Anime Wave Simulator,Anime Wave Simulator is a nervous FPS where you can defeat Anime girl with a weapon enhancement system. Also a Survival game mode is available and a Pleasure mode with three character and dozen skins for them.,₹ 85,"15 Sep, 2020",SeedWall,SeedWall,"Action, Indie"
1397180,Three Dimension,Is your life normal?Explore the world with three protagonists and uncover the hidden secrets of this ordinary yet unusual world!,₹ 85,"25 Oct, 2021",ganon kim,ganon kim,"Adventure, Indie, RPG, Early Access"
1397230,"VR Time Machine Travelling in history: Visit ancient Egypt, Babylon and Greece in B.C. 400",The purpose of our game is to let more people know about the great civilizations of ancient Egypt and ancient Greece.,₹ 349,"30 Aug, 2020",William at Oxford,William at Oxford,Casual
1397240,MEGAJUMP,Only some will reach the top. Will you be one of them? in this precision 3D platformer where every jump is a risk and easy to learn-hard to master controls you will certainly feel rewarded once you start climbing from the Pit of Despair. Just don't fall. FREE NOW,N/A,"19 Oct, 2020",Laptop gaming,Laptop gaming,"Adventure, Casual, Indie"
1397250,My Train Arrives - City pack,In the DLC you will get access to three new cities.,₹ 100,"14 Sep, 2020",Kochkin Dmitry,Kochkin Dmitry,"Indie, Simulation, Strategy"
1397280,Slime Pandemic TD,Defend the galaxy against a slimey pandemic in this classic Tower Defence game. Build towers to defend these planets and strategize against the infection.,₹ 165,"7 Oct, 2020",Christoffer Tornell,Christoffer Tornell,Strategy
1397290,Comet 64,Comet 64 is a programming puzzle game. The year is 1984. All you got is a Comet 64 home computer and the operator's manual it came with.,₹ 690,"5 Feb, 2021",Onur Ayas,what sorceress this,"Indie, Simulation"
1397300,Kyma,"Kyma is a wacky game blending RPG and life simulation. Help Fropin manage the city, customize it, decorate your house, create factories and gardens. Look for your missing mother by discovering amazing places and characters!",₹ 480,"25 Mar, 2021",Kidness,Kidness,"Casual, Indie, RPG, Simulation, Early Access"
1397340,Tennis World Tour 2 - Sofia Kenin & Karolina Pliskova,This DLC includes 2 additional female players: Sofia Kenin and Karolína Plíšková.,₹ 379,"4 Dec, 2020",Big Ant Studios,Nacon,"Simulation, Sports"
1397350,好久不见 - Long Time No See,"The story centers around a frustrated middle-aged man named Yu Kaijie. Along with his friend Ma Zhigao, they participated in a class reunion and used the chance to rob the safe of their rich classmate. But against all expectations, the tranquil villa turned into a closed-off crime scene...",₹ 199,"14 Sep, 2020",SleepwalkStudio, 橙光游戏,"Adventure, Casual, Indie, RPG"
1397360,Shattered Runes,Shattered Runes is a fast-FPS in which you fight your enemies with magic. Choose from 186 unique spells to shape your own playstyle and defeat your opponents.,₹ 199,"13 Feb, 2021",Jérôme Braëms,Jérôme Braëms,"Action, Indie, Early Access"
1397380,Hunt: Showdown - Ronin,This DLC contains two gruesome weapons and one legendary hunter - The Tanto (Weapon) Seinan Sharpshooter (Weapon) The Ronin (Legendary Hunter),₹ 299,"14 Dec, 2020",Crytek,Crytek,Action
1397381,Hunt: Showdown - The Trick Shooter,This DLC contains two gruesome weapons and one legendary hunter:,₹ 299,"21 Jan, 2021",Crytek,Crytek,Action
1397390,The Break-In,"Steal everything. Even the people. The Break-In lets you take whatever you want, from TVs to fridges to toilets. And all in 1-4 player co-op, VR and non VR. Select your getaway vehicle, anything from a bicycle to a stolen police van, and load up with gear like hammers and rocket boosters, and steal.",₹ 880,"17 Jul, 2023",jorgen games Ltd,jorgen games Ltd,"Action, Indie, Simulation, Early Access"
1397410,烈焰天下,这是一款独立RPG冒险类游戏，玩家将扮演一名籍籍无名的英雄，为了实现自己的伟大梦想，你将踏上一条趣味十足的冒险之旅，在途中会遭遇到各式各样的人和事，自身的能力也因此不断成长。游戏的战斗采用回合制玩法，玩家可使用游戏币学习技能或购买物品，十分有趣。,N/A,Coming soon,GOD,GOD,"Action, Adventure, Casual, RPG, Strategy"
1397470,Tsuro - The Game of The Path,"Relax with this beautiful, Zen board game. Play with friends, AI, or simply enjoy the solo experience. It's like a holiday for your mind...",₹ 349,"19 Oct, 2020",Thunderbox Entertainment,Thunderbox Entertainment,"Casual, Strategy"
1397480,Tennis World Tour 2 Annual Pass,"The ANNUAL PASS ensures you always have the latest TENNIS WORLD TOUR 2 content. The first DLC unlocked is the OFFICIAL TOURNAMENTS &amp; STADIA pack, which will be followed by other content, including new official players.","₹ 1,899","24 Sep, 2020",Big Ant Studios,Nacon,"Simulation, Sports"
1397500,Combat League,"A modern take on Speedball; take some Rocket League, add a little World of Tanks, sprinkle some Pro Skater skills, stunts and combos and you have Combat League! Unleash modern combat vehicles, armed with powerful weapons, and roll out onto the field in this arcade elimination soccer mash-up.",N/A,Coming soon,MOSQUITO COCKTAIL LTD,MOSQUITO COCKTAIL LTD,"Action, Sports, Strategy"
1397530,Monochro,Monochro is a speedy action-platformer game about a person using unique weapons and air-dash to reach the end of the world.,₹ 199,"15 Sep, 2020",necotama,necotama,"Action, Casual, Indie"
1397540,On Pixels: A lights out game,Turn on the lights and light up your life! This game is a variation of the &quot;Lights Out&quot; games of the 90s. Each light you turn on changes the state of the adjacent lights. Can you turn on all the lights?,₹ 85,"2 Sep, 2020",Vacation Game Studio,Vacation Game Studio,"Casual, Indie, Strategy"
1397580,Eidols,"Eidols is a psychedelic survival game, set in an alien landscape. As you survive your creature will adapt to your actions, and as you die the life you lived will affect your future creatures. Features deep lore, a wide variety of different abilities, and multiplayer servers to explore it all on.",N/A,Coming soon,"Gub Head Studios, LLC","Gub Head Studios, LLC","Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation"
1397600,Fantasy Grounds - Does Love Forgive?,Does Love Forgive? Two One-to-One Scenarios for Call of CthulhuDoes Love Forgive? is a collection of two special scenarios for Call of Cthulhu for one Keeper and one player. Both adventures are perfect for a fun evening of gaming for two people.,₹ 219,"13 Jul, 2021","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1397620,Flat Earth Simulator,Is the earth a globe? Why do you think that? Does your everyday life confirm that fact? Explore the alternative of the Flat Earth Simulator! An interactive simulation of the day and night cycle on a flat earth with information waypoints all over the terran plane.,₹ 155,"11 Nov, 2020",The Truthtellers,The Truthtellers,Simulation
1397650,Jetborne Racing,Put your flight skills to the test in the online multiplayer air racing game from the creator of VTOL VR. Pilot a high performance jet through challenging courses in a race to the finish. Fly in VR or on desktop with either virtual or physical HOTAS. Do you have what it takes for a podium position?,₹ 349,"27 May, 2021","Boundless Dynamics, LLC","Boundless Dynamics, LLC","Indie, Racing, Simulation"
1397680,Glory Hold,"Glory Hold is besieged again, sire...Surely you remember you must lead the defense? I can’t wait to see you wielding the Great Bow. Your aim has always been so…magnificent. Yes. Truly remarkable. We have nothing to fear at all I’m sure.",N/A,Coming soon,Perch Drunk Thugz,Perch Drunk Thugz,"Action, Casual, Indie, Strategy"
1397690,Riot At World,The world is under occupation because of humans tried to colonized mars and only one city left and unfortunetly it is colonized by aliens. The last humans of world are trying to get their independence from aliens.,₹ 42,"7 Sep, 2020",Zeruk Studios,Zeruk Studios,"Action, Adventure, Casual, Indie"
1397710,Operation TP,"A Post-Apocalyptic store run gone wrong, keep moving, don't get hit, get that TP!",N/A,"14 Sep, 2020",Pizzaquirk,Banamurai Media,Indie
1397720,Red Sector,A sci-fi roguelike about a lone pilot on a forbidden mission through his galaxy. Piece together his story as you scavenge to build your loadout in this procedurally generated space shoot'em-up.,₹ 480,"30 Sep, 2020",Narzioth,Narzioth,"Action, Indie, Early Access"
1397760,Pulse Jumper,Pulse Jumper is a Precision-Platformer where you can jump with guns!,N/A,"5 Feb, 2021",Fifth Edge Studios,Fifth Edge Studios,"Action, Adventure, Indie, Strategy"
1397770,Fantasy Grounds - Pathfinder 2 RPG - Beginner Box,"Pathfinder 2 RPG - Beginner BoxThe Pathfinder Beginner Box contains everything you need to learn how to play the Pathfinder, including rules to create your own fantasy hero and tools to make your own amazing stories.",₹ 899,"24 May, 2022","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1397790,Samurai GUNN 2,"Samurai GUNN 2 is a super fast online platform fighter with stylish moves and lots of cool characters. The unique character movement, crazy fast speed, and one-hit-kills make this unlike any platform fighter you’ve ever played before.",₹ 690,"20 Jul, 2021",Beau Blyth,SCRAMBLER,"Action, Adventure, Indie, Early Access"
1397800,Please Wake Up,"“Please Wake Up” is a memory horror game. It has simple and accessible, yet engaging, gameplay that gives the player a fear of their own mind. As you look around the room, objects will change when they are not visible. Click on the objects if they have changed.",₹ 125,"29 Jan, 2021",CLU Entertainment LLC,CLU Entertainment LLC,Indie
1397810,Ducktopia,"Become a mayor of your own city filled with ducks! Build your city up as you would like it, while making sure your ducks stay happy, healthy and productive, otherwise they may steal your duckeronies. Create the perfect city then you may end up with your own Ducktopia!",₹ 399,"21 Sep, 2020",Llama Softworks,Llama Softworks,"Casual, Simulation, Early Access"
1397820,Sky Mirror · Strolling,"Relax and stroll in this dreamland, get positive energy and avoid negative energy.",N/A,"1 Jun, 2021",Woody's Games,Woody's Games,"Action, Adventure, Casual"
1397830,Presidential Running Games,"From an all-time low in global leadership, a new hope for merit-based leadership has arrived in the form of a third-person trivia shooter. In a specially designed course, our future leaders are now tested for their knowledge and ability to think under pressure.",₹ 250,"21 Jan, 2022",Amendment One Games,Amendment One Games,"Action, Casual, Indie, Early Access"
1397840,Cult of Dawn,"Attempt to survive as a mysterious event strips away the bounds of reality itself in Cult of Dawn, a third person horror adventure inspired by classic survival horror titles of the 90s and early 2000s. Featuring tank controls, fixed and over the shoulder camera angles, inventory management and more.",N/A,Coming soon,stoneghost,stoneghost,"Action, Adventure, Indie"
1397850,Circle Tank,"Circle Tank is a one-button minimalist coffee-break tank action game. Through three acts, mash uncontrollably as an onslaught of cuboid enemies threaten your existence. Intentionally awkward controls make this a rage-inducing challenge that will put you to the test. Can you survive?",N/A,"7 Sep, 2020",Squid Related Games,Squid Related Games,"Action, Free To Play, Indie"
1397880,The Weald,"Following the last of the Salem Witch Trials, a Puritan father claims to have had a vision showing a place where his missing son might be, and suspects a witch is behind his abduction.",N/A,Coming soon,Elliott Dahle (DREAM FACADE),Elliott Dahle (DREAM FACADE),"Adventure, Indie"
1397920,Mr.Mine,"Explore the depths of the earth and uncover hidden treasures in this addictive idle mining game. Unlock the power of your drill with hundreds of upgrades, discover mysterious relics, and unearth priceless gems. Can you master the mines and reveal their deepest secrets? Dive in and dig deep!",N/A,"30 Sep, 2020",Playsaurus,Playsaurus,"Adventure, Casual, Indie, RPG, Simulation, Strategy, Free To Play"
1397940,Prototype ONE DAY I AM ,"Zordi Mi Lé is an open world game prototype on Reunion Island, explore the city of Saint-Pierre in search of &quot;dreams&quot;: One day I am possesed, One day I am at the plain of sands , chaos and mod run 200m st anne",N/A,"29 Sep, 2020",TCS Production,TCS Production,"Action, Adventure, Indie"
1397950,The Scarlet Capital 绯红之都,《绯红之都》是一款像素风角色扮演类游戏，通关游戏时长在15到20小时左右。游戏中可以学习到6个系的30个魔法以及每个角色特有的个人技，在这广袤的艾蕾赛亚大陆上体验剑与魔法的传奇吧！,N/A,Coming soon,飞羽工作室,飞羽工作室,"Adventure, Indie, RPG"
1397960,One Night on Halloween,"A black and white manga-style visual novel about high school, parties, crushes, best friends and bullies!",₹ 85,"29 Oct, 2020",Cult Shock Games,Cult Shock Games,"Casual, Indie"
1397980,THE NORMAL THING,"THE NORMAL THING is a story about a dog who lost his memory. Sunless forests, strange gardens, weird inhabitants... Start a little journey to retrieve your memory.",N/A,"10 Dec, 2020",Orata Studio,Orata Studio,Adventure
1397990,The Tower Of TigerQiuQiu Super Tigerio,"About Super Tigerio： In the game, the player will take on the role of Tigerio, Who will have to jump through obstacles on the path and attack to kill the monsters to get the gold Cup",₹ 155,"5 Sep, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1398050,ISEKAI QUEST : Artbook + Digital Album,"The Artbook that records the production process of ISEKAI QUEST, and a digital album containing all CG and animation included in the game. If you liked the game, please consider buying this!",₹ 155,"15 Sep, 2020",Studio Ginkgo,Studio Ginkgo,"Adventure, Casual, Indie, RPG"
1398060,ISEKAI QUEST : True Vision,"Unlocks R18 contents in ISEKAI QUEST. This game may contain content not appropriate for all ages, or may not be appropriate for Viewing at work: Nudity or Sexual Contents, General Mature Content. All characters involved in sexual content are over the age of 18.",N/A,"15 Sep, 2020",Studio Ginkgo,Studio Ginkgo,"Adventure, Casual, Indie, RPG"
1398070,The Book of Bondmaids,The Book of Bondmaids is a story-driven visual novel and sequel to Three Kingdoms Story: Conussia.,₹ 300,"24 Sep, 2021",kamti,kamti,Indie
1398080,Seaside Cafe Story,"Cook good food, build a nice cafe, and serve happy customers. Do you have what it takes to build a comfy culinary paradise on a tropical island? Test your skills as a chef and cafe owner in this refreshing lite management game!",₹ 219,"4 Nov, 2020",Studio Namaapa,Studio Namaapa,"Casual, Indie, Simulation, Strategy"
1398100,Orwell's Animal Farm,"Orwell’s Animal Farm is a text-based choice-driven narrative game where all animals are equal, but some animals are more equal than others. Immerse yourself in George Orwell's story of absolute power and corruption and follow the ups and downs of Animalism.",₹ 349,"10 Dec, 2020",Nerial,The Dairymen,"Adventure, Indie"
1398110,Space Pirate King,"Become a villainous space pirate. Aim for the Pirate King! Customize your space battleship. Attack passenger ships, rob cargo ships, and defeat guards! Japanese indie games",₹ 219,"10 Mar, 2023",TEASOFT,TEASOFT,"Action, Indie"
1398120,The Hardest Thing Ever,The Hardest Thing Ever is a first-person game where you will solve puzzles with physics,₹ 299,"13 Sep, 2020",ChillFun,ChillFun,"Adventure, Casual, Indie, Strategy"
1398130,Head Bumper: Editcraft,"Create your own levels, blocks and crafting recipes. Play community levels and take on challenges to get custom body parts that allow you to create your own unique character in the colors and combinations of the body parts of your choice.",₹ 42,"19 Sep, 2020",Polish Hacker,Polish Hacker,"Action, Casual, Indie, Early Access"
1398170,Mourning Inc.,There is a place where it helps to process what we have lost in our life. There is a place where new special guests always arrive and leave. There is a place where it helps to let go of the past and you start to live future. This is Mourning Inc!,N/A,"3 Dec, 2021",Mr. Brook,Mr. Brook,"Action, Adventure, Free To Play, Indie"
1398180,Porcini,Porcini - logic platformer with coin puzzles and match-three game elements,₹ 26,"1 Oct, 2020",Dnovel,Conglomerate 5,"Action, Adventure, Casual, Indie"
1398200,ADA: Além d' Aventura,"A J-RPG set in a fantasy world, rich in history, with a Brazilian touch, tactical and nostalgic combat, innovation, implementations based on card game systems, and an exploration of adventure games.",N/A,Coming soon,Opala Project,Opala Project,"Adventure, Indie, RPG, Early Access"
1398220,IMPAVIDVM,"IMPAVIDVM is a physics based platformer with puzzle solving components where you have to overcome increasingly complex obstacles, testing your abilities and observation skills.",₹ 349,"8 May, 2023",PiMark Games,PiMark Games,"Action, Indie, Strategy"
1398260,Selene ~Apoptosis~ 18+ Adult Only Patch,Adult only hentai DLC for Selene ~Apoptosis~ visual novel.,₹ 137,"17 Feb, 2023",Viscum key,Nupu Neko Dev,Adventure
1398270,Furgal's Jetpack,"Furgal's Jetpack is a 2D runner with a side view. You are unjustly imprisoned, and your goal is to escape! Fly over cars and Dodge flying clubs to get to the desired freedom, because the only way to it is through the thorns of the urban jungle.",₹ 52,"22 Sep, 2020",SosiskaGames,Conglomerate 5,"Adventure, Indie"
1398280,Great Lakes Simulator,,"₹ 1,100","15 Dec, 2021",N/A,,
1398290,Crônicas de Landulph,"10 anos se passaram depois que o Deus Maligno Cruel foi derrotado, o mundo deveia agora viver em paz. O Grande Órion foi responsabilizado pelos crimes de Cruel e sumiu junto com os Shadowrunners. Sem os salvadores do mundo, cabe a você salvar o mundo.",₹ 105,"28 Sep, 2020",William dos Santos Emerich,William dos Santos Emerich,RPG
1398300,Suspicious Shuffle,"Mario Party meets Geometry Wars in this minigame adventure for 1-6 players! Combine speed, memory, brains and finesse to help the Dealer restore balance to the Suspicious universe.",₹ 250,"15 Jun, 2023",Sami Kilani,Sami Kilani,"Action, Casual, Indie, Strategy"
1398340,Paintball with Friends,"Paintball with Friends aims to bring a semi-realistic approach to the sport of Paintball, in a large PvP arena. Get your friends together to compete in a vast amount of gamemodes with 10 minute rounds. Get a team together and compete against other clans in Team matchmaking.",N/A,Coming soon,PhantomRealm Interactive,PhantomRealm Interactive,"Action, Casual, Indie, Sports, Strategy"
1398390,SPACE / MECH / PILOT,The S/M/P Initiative is not responsible for any odd abnormalities while playing. Connections to other universes are not monitored or controlled by the video game program. Keep away from children under the age of 6. Fun to play but not to eat.,N/A,"13 Oct, 2020",SKY HOUR WORKS,SKY HOUR WORKS,"Free To Play, RPG, Strategy"
1398400,Florida Man: Hurricane Hijinks,Six hours until the hurricane hits. Six hours alone on a Florida island. Six hours to reach fame! What will your headline be?,₹ 379,"22 May, 2021",Tag 44/24,Tag 44/24,"Adventure, Indie, Strategy"
1398410,Reginald's Death Arena,"4 player chaotic single screen battle arena, with multiple game modes, items, and quirky mechanics. Regurgitate what you eat onto opponents with various status effects depending on what you consumed. Burn it all to the ground!",N/A,"24 Jun, 2021",Epic Banana Games LLC,Epic Banana Games LLC,"Action, Free To Play, Indie"
1398420,One Last Dungeon,"One Last Dungeon is a turn based, rogue-like, deck builder, RPG all rolled into one. Choose between 3 characters, draft a starting deck and be on your way to destroying hordes of enemies.",₹ 199,"24 Dec, 2020",Thawmus,Thawmus,"Adventure, Indie, RPG, Strategy"
1398440,Transcender,"Transcender is a brief interactive experience that takes place in a surreal sci-fi setting. Figuring out how to play and what to do is the main attraction of the experience. It will hopefully leave you thinking &quot;Hmm, that was interesting&quot;",N/A,"30 Sep, 2020",Aldo Jeffrey,Aldo Jeffrey,Indie
1398460,Line Leader,"Take the role of Line Leader, as you and your fellow students try to escape school. Avoid hazards and gather as many students as possible to escape each room. Adventure through different areas of the school, defeating bosses and solving puzzles as you find your way out.",N/A,Coming soon,Red Zebra Studios,Red Zebra Studios,"Casual, Indie"
1398470,Pop up Blaster,"Pop up Blaster is a game that allows you to shoot popups with guns, and lob grenades and dynamite at them as well. If you do not like guns, you can shoot popups with flowers instead. If you do not like the realistic sounds, you can change them as well. All of the settings can be saved.",₹ 219,"5 Sep, 2020",Jason Dale Swisher,Jason Dale Swisher,Indie
1398500,MECHBLAZE,"An inferno roars over a destroyed secret military base. Then, from the flaming rubble...an invincible super robot is reborn! Mechs born of advanced science and modern weaponry battle in heavy weight Run 'n Gun mech shooter!!",₹ 240,"6 Nov, 2020",ASTRO PORT,Henteko Doujin,"Action, Indie"
1398510,Galaxy in Peril: Time Trouble,"The galaxy is in peril again. Falias forces have made it back to your galaxy, and want to harvest the energy from your star! The only way to stop them is to go back in time using a newly discovered blackhole. Go back in time, disable the devices, and save your galaxy!",₹ 42,"30 Sep, 2020",Barty Games,Barty Games,"Action, Adventure, Casual, Indie"
1398570,Last Escape,"Last Escape: A 3D shooter with survival elements. Play as cyborg Stephen on a revenge quest, battling monsters, solving mysteries, and navigating through dark levels.",₹ 260,"4 Sep, 2020",NL Studio 2,KazakovStudios,"Action, Adventure, Casual, Indie, Simulation"
1398590,1001 Jigsaw World Tour Asia,1001 Jigsaw World Tour: Asia is an exciting jigsaw puzzle game and tour guide with 500 high-quality photos,₹ 37,"18 Sep, 2020",Creobit,8floor,Casual
1398600,Fill and Cross World Contest,Guess all the pictures and win the world contest! Solve 120 unique puzzles in 6 elegant locations in the most prestigious casino.,₹ 250,"18 Sep, 2020",Creobit,8floor,Casual
1398610,Yag - Antiquity Content,Antiquity content for Yag.,N/A,"10 Sep, 2020",Bonjourcoco,,"Indie, RPG"
1398630,无限次元,"A Japanese strategy adventure game Operate a protagonist, match lineup, equipment, skills, etc. to form a combat team Instant combat system, rougelike Plot Role development Sword and Magic",₹ 42,"29 Mar, 2021",风魔工作室,风魔工作室,"Adventure, Casual, Indie, RPG, Strategy"
