appid,name,description,price,release_date,developer,publisher,tags
1468680,LiftAir Ski Jump,"Ski jumping arcade game with hill creator, online multiplayer, flight style editor, advanced physics and many more.",N/A,"14 Aug, 2023",dpidev,dpidev,"Indie, Simulation, Sports"
1468700,VR Hentai Cat Complete Edition,"New girls will be added, and you can play with them sexually.",₹ 499,"19 Nov, 2020",VISON STUDIOS,VISON STUDIOS,Simulation
1468710,Waste Walkers Wastelander Skin Pack,The Wastelander Skin Pack features 8 new skins to show off your style while exploring the wastes!,₹ 155,"9 Nov, 2020",Corrosive Studios LLC,Corrosive Studios LLC,"Action, Adventure, Indie, RPG, Simulation, Strategy"
1468720,Ultimate Epic Battle Simulator 2,"Welcome to Ultimate Epic Battle Simulator 2, the most ridiculous and insane battle simulator in existence! Create eye watering battles with hundreds of thousands, even millions of characters on screen! Jump into multiple campaigns in game or player made, or play in sandbox mode and FPS invasion",₹ 529,"21 Jul, 2023",Brilliant Game Studios,Brilliant Game Studios,"Action, Adventure, Casual, Indie, Simulation, Strategy"
1468750,Fox in the Woods,A crafting base survival casual game play. Two playable game modes! Hand drawn vector images and animations. Support a small local game design team!,N/A,"30 Nov, 2020",Christina Leskowyak,Gryphox Studios,"Adventure, Casual"
1468800,Portal Defect,Portal Defect is a Top-Down Roguelite set in the Future and you are an agent sent to the past to alter it. But something goes wrong!....Will you be able to escape time and space and return home? or will you die trying?,N/A,"14 Apr, 2021",Gin Motion,Gin Motion,"Action, Casual, Indie"
1468810,鬼谷八荒 Tale of Immortal,"Tale of Immortal is an open-world sandbox based on Chinese mythology and cultivation. You will grow to become immortal, conquer the beasts from the Classic of Mountains and Season, make your choices carefully and grasp your own destiny.",₹ 829,"26 May, 2023",鬼谷工作室,鬼谷工作室,"Action, Adventure, Indie, RPG, Simulation"
1468820,The king is gone,"A puzzle game about running, not because one has somewhere to be, but because one has somewhere they don't want to be. Different doors are blocking the way, that need to be unlocked to proceed. Each door will give a different benefit, and a combination of them is the key to succeed .. or fail.",₹ 155,"15 Dec, 2020",Afloofdev,Afloofdev,Indie
1468850,RPG Maker MZ - POP: Slasher Forest,"If you go down to the woods today, you're in for a big surprise. The horror returns in Slasher Forest, the latest POP! pack from asset creator Vexed Enigma.","₹ 1,100","19 Nov, 2020",Vexed Enigma,KOMODO,"RPG, Design & Illustration, Web Publishing"
1468860,RPG Maker MZ - Medieval: Town & Country,"Everything you need is inside to create literally thousands of unique characters including their spritesheets (with over 50 animations supported!), facesets, busts, and paperdolls.",₹ 480,"12 Nov, 2020",PVGames,KOMODO,"RPG, Design & Illustration, Web Publishing"
1468870,RPG Maker MZ - Medieval: Underdeep,"Far below the surface dwell creatures of twisted visage and vile hearts. They have thrived in the darkness, and for centuries have amassed their numbers. Now, they march for the surface…",₹ 480,"19 Nov, 2020",PVGames,KOMODO,"RPG, Design & Illustration, Web Publishing"
1468880,RPG Maker MZ - MV Monsters HIBIKI KATAKURA ver Vol.1,"Take your beasts, monsters and bosses a step further with this unique enemy pack by Katakura Hibiki!",₹ 480,"12 Nov, 2020",Hibiki Katakura,KOMODO,"RPG, Design & Illustration, Web Publishing"
1468890,RPG Maker MZ - Town of Seasons,"One of our favorite game features is being able to see the flow of time, and what a better way to do so than with a set that pays homage to all the seasons?",₹ 690,"12 Nov, 2020",Sherman3D,KOMODO,"RPG, Design & Illustration, Web Publishing"
1468900,RPG Maker MZ - Medieval: Interiors,"Everything you need is inside to create literally thousands of unique characters including their spritesheets (with over 50 animations supported!), facesets, busts, and paperdolls.",₹ 480,"12 Nov, 2020",PVGames,KOMODO,"RPG, Design & Illustration, Web Publishing"
1468910,RPG Maker MZ - Medieval: Warfare,"War is coming; hone your blades, raise your banner, fasten your armour, and sound the horns of battle!",₹ 480,"12 Nov, 2020",PVGames,KOMODO,"RPG, Design & Illustration, Web Publishing"
1468920,RPG Maker MZ - Time Fantasy Ships,A graphics expansion with new tilesets and sprites in the classic pixel style of Time Fantasy!,₹ 200,"12 Nov, 2020",finalbossblues,KOMODO,"RPG, Design & Illustration, Web Publishing"
1468930,RPG Maker MZ - Time Fantasy: Farm and Fort,"Expand your world with all the essentials for farms and forts-- loot, weapons, crops, and more!",₹ 450,"19 Nov, 2020",finalbossblues,KOMODO,"RPG, Design & Illustration, Web Publishing"
1468940,RPG Maker MZ - Medieval: Diseased Town,What happened here? This is not the town and country I remember…,₹ 250,"19 Nov, 2020",PVGames,KOMODO,"RPG, Design & Illustration, Web Publishing"
1468950,Devil Edge,"This is a magic and adventure action game, the game designed a number of demon scene, including Miguel City, pyramid magic Road, Paria volcano, Tavla castle, Beka jungle, blue city cave, etc. The high difficulty level design, the unceasingly rich magic skill, will let you indulge in it.",₹ 165,"23 Feb, 2021",BluSped,BluSped,"Action, Adventure, Casual, Indie, Racing, RPG, Simulation, Strategy"
1468960,Pro Arena Alpha,"We had FPS Professionals send us direct emails with extremely positive reviews claiming Synergy as a incredible Arena Shooter saying, &quot;This game is better than Halo: Infinite, Apex Legends, Battlefield 2042, Overwatch, and pretty much everything else out there! We look forward to the full release&quot;.",N/A,"15 Nov, 2021",The Cosmic Pyramid,The Cosmic Pyramid,"Action, Adventure, Free To Play, Massively Multiplayer"
1469000,Don't Crash - The Zombie Game,"WARNING THIS GAME CRASHES WHEN YOU DIE! IT'S THE POINT OF THE GAME! Game features &quot;endless&quot; Zombie and Soldier combat, several levels As well as a shotgun, pistols, assault rifles, RPG Launcher and a knife. This is a work in progress game.",₹ 105,"25 Dec, 2020",Tegridy Made Games,Tegridy Made Games,"Action, Adventure, Casual, Indie, Strategy"
1469090,Bounce,Launch your ball into the high-scores in this frantic and stunning physics-based procedurally generated time twister!,₹ 125,"5 Feb, 2021",Rare Camel Studios,Rare Camel Studios,"Action, Casual, Indie"
1469100,The Tower Of TigerQiuQiu Desktop Ball,"AboutThe table game begins with a rule of 6 points. Try to win, the opponent behind you will be more agile, the ball is getting faster and faster.FeatureThe DLC include full 10 missions",₹ 155,"7 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie, Sports"
1469170,Commandos 3 - HD Remaster,"Fall in, soldier! Commandos 3 - HD Remaster sends you to the relentless and unforgiving battlefields of Europe. Remastered in high definition including reworked 3D models and textures, improved controls and refined UI","₹ 1,199","30 Aug, 2022",Raylight Games,Kalypso Media,Strategy
1469210,Surmount Soundtrack,"This is additional content to Surmount, not include the game.",₹ 123,"29 Dec, 2020",猫跑工作室,CE-Asia,
1469220,Cat Simulator: Meow,"If your life is tired, just become a cute and happy cat, and run freely in the beautiful open world!",N/A,"8 Jun, 2021",N/A,,"Casual, RPG, Simulation, Early Access"
1469230,Angry Fugu,Angry Fugu is a relaxing and logical jumping game.,₹ 165,"24 Nov, 2020",Joma Rage,Joma Rage,"Adventure, Casual, Indie"
1469260,ChildStory,The adventure-quest game with hot bullet hells bosses. Every month Sonya gets to the lighthouse to eat the moon and continue the cycle. And each cycle was similar to the previous one. But she will remember the last one for a long time.,₹ 399,"18 Jan, 2024",Oliver Orangers,Oliver Orangers,"Adventure, Indie, RPG"
1469280,SuchArt: Creative Space,"Paint on any surfaces with numerous tools in Creative Space — a free sandbox version of SuchArt: Genius Artist Simulator. Create masterpieces, complete commissions, and decorate your studio in the most advanced artist sim!",N/A,"21 Jan, 2021",Goose Minded,HypeTrain Digital,"Action, Adventure, Casual, Indie, Simulation, Free To Play"
1469290,Target Acquired,"Take control of a drone - a high-tech unmanned bomber, and be the hand of justice over global terrorism. Prepare the best setup for the mission using a variety of missiles, bombs and cameras. Can you strike them down when they don’t expect it? You’re not the only flier in these dangerous skies...",N/A,To be announced,Baked Games,Baked Games,"Action, Simulation, Strategy"
1469300,Leap of Love,Leap of Love is a fantasy game where you play as Kaheroux a frog turned prince by a shady wizard. The catch of that spell is that he needs to find and marry a princess within a month or go back to being a frog.,₹ 459,"31 Dec, 2020",Andrealphus Games,Andrealphus Games,Casual
1469310,梦幻江湖,东方神话修真题材 领略小说般的世界 完美还原网民心中的修真世界，脚踏飞剑飞天遁地，奇幻秘境一一探索。王者争霸，仙宗历练，独具匠心的玩法让你流连忘返。,N/A,"10 Dec, 2020",上海摩力游数字娱乐有限公司,上海摩力游数字娱乐有限公司,"Casual, Free To Play, Massively Multiplayer, RPG"
1469330,Unlimited Fight,"Fighting game developed in the best 3d style, with simple commands and easy to learn even for those who do not play fighting games, but with a variety of movements and combos that can be applied. are you ready for action?",₹ 105,"10 Dec, 2020",Erasmo Cândido Mutemba,PIS Games,"Action, Casual, Indie"
1469340,GyroBlade,Retro style 2D vertical scrolling simple shooter.,₹ 250,"21 Dec, 2020",H.T.Project Games,H.T.Project Games,Indie
1469350,Save the Planet,"Naturally, your number one task is to kill the monsters! Just don’t let them cross the red line on the right. Track your progress as you go and Save the Planet in 60 match3 levels with escalating complexity!",₹ 225,"23 Nov, 2020",Itera Laboratories,HH-Games,Casual
1469360,Fold Stories,An inner journey mixing exploration and puzzles in a dreamlike origami world.,N/A,Coming soon,OtterWays,OtterWays,"Adventure, Indie"
1469370,Lighthouse Keeper,This dark act takes place from a single day of the Lighthouse Keeper. Listen to keeper carefully and help him to interrupt his twenty-years-old shift at the Lighthouse.,₹ 33,"22 Nov, 2020",Nikita Kaf,Missing Calm,"Adventure, Indie"
1469390,CATACOMBIA,90s VHS Found Footage Survival Horror in Paris Catacombs. Relive Paris' dark memories and relive the lost explorers experience through the recording itself. See if you can alter the outcome.,N/A,Coming soon,Aza Game Studio,Aza Game Studio,Indie
1469450,Moon Caves,"This is a rogue-like top-down shooter where you control a spaceship that is sent out to explore the caves on the Moon. Once you enter the caves, you find out that there are enemies. It is up to you to survive against them while also trying to find the path down to the next level of the caves.",₹ 250,"4 Feb, 2021",RPROGaming,RPROGaming,"Action, Indie, RPG"
1469460,Gone Upstate,"Gone Upstate is a relaxed survival sandbox game where you Hunt, Build and Craft in a vibrant wilderness. Explore the vast landscape, escape dangerous predators, buy or craft supplies, sell your farm crops and uncover the mysterious creatures!",₹ 459,"25 May, 2021",Digital Boxcar,Digital Boxcar,"Adventure, Casual, Indie, Simulation, Early Access"
1469490,Awakened: Dark Space,"In this Horror Story you go on a search to find your friend Sara who went missing in a mysterious area called Crystal Woods which is rumored to be cursed for over 800 years, since a certain incident.",₹ 379,"25 Feb, 2022",Moonlore Game Studios,Moonlore Game Studios,"Adventure, Indie"
1469540,Maximus 2: Street Gladiators,"A fantasy beat-em-up that focuses on crunchy and satisfying combat. We captured the spirit of some of the best classic beat-em-ups, melding them into one memorable experience. Fight solo or with up to 4 players cooperative multiplayer!",₹ 300,"11 Apr, 2023",Four Fats,Four Fats,"Action, Indie, RPG"
1469550,Plokoth,Plokoth is an atmospheric 2D platforming game set in a mysterious jungle.,N/A,"9 Jul, 2021",Team Plokoth,Team Plokoth,"Action, Adventure, Casual, Free To Play, Indie"
1469560,Fantasy Grounds - Pathfinder RPG - Campaign Setting: Mythic Realms,"Pathfinder RPG - Campaign Setting: Mythic Realms Unleash Mythic Power!Bring mythic adventure into the Pathfinder world with Pathfinder Campaign Setting: Mythic Realms . This must-have expansion to the Pathfinder Roleplaying Game's newest and most ambitious hardcover, Pathfinder Roleplaying Game: Mythic Adventures , is your guide to epic...",₹ 880,"12 Dec, 2023","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1469580,Fantasy Grounds - Pathfinder RPG - Campaign Setting: Inner Sea NPC Codex,"Pathfinder RPG - Campaign Setting: Inner Sea NPC CodexNo Game Master can ever have too many colorful characters to throw at her players, whether they're friendly allies or devious enemies. The Inner Sea NPC Codex presents over 50 unique NPCs from the Pathfinder campaign setting, allowing GMs to focus on the story they want to tell and...",₹ 880,"9 Jan, 2024","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1469610,Last Train Home,"The Great War is over - the fight continues. Command a legion of soldiers, desperately trying to make their way home amidst the chaos of civil war. Lead them through the unforgiving wilderness onboard an armored train. Manage your crew and resources and try to survive.",₹ 800,"28 Nov, 2023",Ashborne Games,THQ Nordic,Strategy
1469620,Epic Battle Fantasy Collection,"A collection of short and silly games from the early days of the internet. There's turn-based RPGs, shoot-em-ups, platformers, and more - updated with new quality-of-life features. Plus there's a whopping 150 achievements to collect, and a free soundtrack DLC!",₹ 299,"30 May, 2022",Matt Roszak,Matt Roszak,"Action, Adventure, Casual, Indie, RPG"
1469660,Dontdy,"Dontdy is a Deathrun and troll game where you have to go from point A to point B without dying. In this city or even this castle which seems peaceful at first glance, there are deadly traps. So be careful where you walk. Otherwise you will go mad. And this game is far from being a hiking simulator.",₹ 165,"24 Nov, 2020",Electro Gamma,Electro Gamma,"Action, Indie"
1469690,Drift King,"Grab your favorite car, tune it, challenge players in Online Drift battles and become a DRIFT KING!",₹ 480,"27 Jul, 2022",Giorgi Abelashvili,Giorgi Abelashvili,Racing
1469700,Playing Pride & Prejudice 1: An Austen Armoire,"An Austen Armoire is a time-based cozy game that illuminates Volume 1 of Pride and Prejudice by Jane Austen. Combining cosplay with collecting, sharing, and daily character messages, An Austen Armoire progresses over real time. Players can read the novel in easy, snack-sized sections.",₹ 399,"15 Dec, 2020",MInerva Interactive,Minerva Interactive,"Casual, Indie"
1469730,Good puzzle: Castles - Wallpapers,"This add-on allows you to download all 12 art from the game, with calstles!",₹ 250,"9 Nov, 2020",Laush Dmitriy Sergeevich,Laush Studio,"Casual, Indie, Simulation"
1469740,Fantasy Grounds - SWADE Vehicle Guide,"SWADE Vehicle GuideThe Vehicle Guide for Savage Worlds is your ticket to use any vehicle in your adventures. From Roman galleons to moon-sized space stations, we've got you covered with a massive collection of sample vehicle statistics of every size just waiting to be customized--or used on the fly as-is! Just add guns and daring crew.",₹ 259,"1 Jun, 2021","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1469750,3x3 the immersive fiction chapter one : Math awakening,3x3 is an interactive adventure game in 2d cartoon style mixed with narrative and movie sequences. The gameplay dynamic is close from an escape game. An episodic format of nine chapters is planned for the first part of the story call prologue connected with mini TV series from 3x3 whole universe,₹ 199,"15 Dec, 2020",3x3.zero,3x3.zero,"Adventure, Casual, Indie, Early Access"
1469770,Khimera: Puzzle Island Soundtrack,It's the full Original Soundtrack from Khimera: Puzzle Island! Over 30 songs in 320kbps MP3 format for your listening pleasure.,₹ 165,"29 Nov, 2020",Suits & Sandals,Suits & Sandals,
1469780,Fantasy Grounds - Aegis of Empires Player's Guide,Aegis of Empires Player's Guide Adventure Awaits in the Lost Lands!The Aegis of Empires Player's Guide is here! Check out the richly detailed history and culture of the Lost Lands Campaign Setting as it plays out on the epic canvas of the Aegis of Empires Adventure Path!,₹ 219,"17 Nov, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1469790,Nihariely’s Spatial Adventure: Original Soundtrack,The Original Soundtrack of the Game: Nihariely’s Spatial Adventure.,N/A,"21 Jan, 2021",Artificer Creator,Artificer Creator,"Action, Adventure, Indie"
1469800,Koma,Nonaddictive 30 minutes mind refreshing experience filled with 404zero's live sessions music,₹ 85,"15 Dec, 2020",404.zero,404.zero,Indie
1469810,Good puzzle - Wallpapers,"This add-on allows you to download all 12 art from the game, with a variety of images of different themes!",₹ 250,"10 Nov, 2020",Laush Dmitriy Sergeevich,Laush Studio,Indie
1469830,The Happy Little Virus,"As a virus, attack the servers of charities on orders from your sinister creator that seem strange... maybe even unethical? Journey down into their computers and engage in frantic debris-strewn battles with the antiviruses in this comedy puzzle shooter.",₹ 165,"18 Jan, 2021",Ed Mulvey,Ed Mulvey,"Action, Indie"
1469840,Yummy Nuts,"Cut the ropes, collect the nuts, have fun!",₹ 52,"9 Dec, 2020",Flashrush Games,Flashrush Games,"Adventure, Casual, Indie"
1469860,Hollow Destiny,"A simple casual runner, set in a place after life and before death.",₹ 69,"27 Nov, 2020",Jacques Azevedo,Jacques Azevedo,"Casual, Indie"
1469890,NeoCube,A game of exploring QR codes! Multiplayer coming soon!,₹ 42,"22 Jan, 2021",Snaju Development,Snaju Development,"Casual, Indie, Racing, Strategy, Early Access"
1469900,Fantasy Grounds - Black Scrolls Village (Map Tile Pack),This product requires Fantasy Grounds UnityBlack Scrolls Medieval Fantasy City (Map Tile Pack)The Cities of the Black Scrolls - Village tiles are finally here!Thanks to our awesome Kickstarter backers we had a chance to create this set. Thank you!,₹ 349,"17 Nov, 2020","SmiteWorks USA, LLC",,"Indie, RPG, Strategy"
1469920,Einar - Loki's Traps,"You are a Viking named Einar, who when comparing himself to Loki is caught in a trap.",N/A,Coming soon,Monkey Indie Games,Monkey Indie Games,"Adventure, Casual, Indie, Strategy"
1469960,Explosive Candy World,Forget about running and jumping. In Explosive Candy World you have to EXPLODE your way to the end of the level!,₹ 200,"15 Sep, 2021",Marcos Game Dev,Marcos Game Dev,"Action, Adventure, Indie"
1470020,Dudes on a Map: Virtual Grid Paper,Play any Tabletop RPG online with a simple and quick to setup interface using fog of war and player tokens to keep track of the action.,N/A,"6 May, 2021",Big Sky Software LLC,Big Sky Software LLC,"Adventure, RPG, Early Access"
1470030,Funtime with Buffy,"Things are not going so well since you've been left alone in the house. Your friendly plushie toy, Buffy, is not so friendly anymore. Otherwise he's haunting you all along.",₹ 199,"30 Nov, 2020",Darius Bucataru,Darius Bucataru,"Action, Adventure, Indie"
1470060,GHOSTWINTER,"You are in The Ghost suit. Welcome to The Virtual world - little village in Siberia, Russia. Try to complete Single game hardcore mission - it's not so easy, but the atmosphere... Winter landscape is beautiful and magic! Play Multiplayer DM/TDM/GG Matches and ranking UP! Have fun!",N/A,"3 Dec, 2020",Dimpiks,Dimpiks,"Action, Adventure, Indie, Massively Multiplayer"
1470120,Atopes,Your future is vaster than the cosmos.,N/A,"30 Jul, 2021",Sato Fumiya,Sato Fumiya,"Free To Play, Indie"
1470130,Dominate Square,4つの属性を的確に配置し、相手の駒を奪いましょう。,N/A,"5 Jan, 2021",justblack,justblack,"Indie, Simulation"
1470150,Low Story,"Low gets thrown from the top floor of a building, and he falls into the dark world. After his fall, Low wants to return but he finds the door locked by Red One The World Keeper. Thus, Low starts looking for the key hoping revenge.",₹ 329,"11 Jan, 2021",Engin Baştürk,Engin Baştürk,"Action, Adventure, Indie"
1470220,Movie Tycoon Simulator 2020,Manage movie theatres and make your very own Hollywood Pictures!,₹ 155,"26 Nov, 2020",Tim Rachor,Tim Rachor,Simulation
1470250,The Tower Of TigerQiuQiu Dodge the ball,AboutThe traditional game to avoid the ball played as a child. Watch out for people on both sides rushing the ball you throw out and stick to the only one left on the pitch.FeatureThe DLC include full 10 mission,₹ 155,"9 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1470260,Good puzzle: Music - Wallpapers,"This add-on allows you to download all 12 art from the game, with a musical theme!",₹ 250,"10 Nov, 2020",Laush Dmitriy Sergeevich,Laush Studio,"Casual, Indie"
1470270,Powerboat VR,"Take the helm of a variety of different ocean vessels from small sport boats all the way up to large commercial vessels. Dynamic seas, Day/Night cycle, RADAR, GPS, &quot;IALA A&quot; Buoyage with NavAid/AtoN lighting systems provide a realistic sailing environment. VR &amp; Non-VR modes supported.",₹ 519,"29 Dec, 2020",Jimmy Arcade Limited,Jimmy Arcade Limited,"Indie, Simulation, Early Access"
1470280,The Last Of Anime,"The Last of Anime is a cool open-world shooter. Your task is to clean up the destroyed city. A pistol, submachine gun and sniper rifle will help you defeat your enemies.",₹ 52,"4 Dec, 2020",Guilty Pleasure Games,Guilty Pleasure Games,"Action, Adventure, Casual, Indie, RPG, Simulation"
1470300,Paper Tales - Catch Up Games,Paper Tales is a dynamic card game suitable for mobile. Build a comprehensive strategy and adapt the shape of your realm according to opportunities and restrictions and you will make history!,₹ 125,"27 Nov, 2020",Sergio Matsumoto,DTDA Games,"Indie, Strategy"
1470310,Witch 2 Hell Adventure,"Trapped in a surreal, diabolical realm, the demon of candlelight encounters Chelsea. He sets her free and gives her a chance to escape from hell. Will Chelsea find the way out? What destiny awaits her in this infernal place? The answers are up to you, and you alone.",₹ 230,"29 Apr, 2021",Towndarktales,Towndarktales,"Adventure, Casual, Indie, Simulation"
1470320,Malmyr,"Malmyr - Plan and optimize complex production chains. In each of the royal missions, the rules change and you are always challenged anew. What is it about the magical dwarven runes? Can you combine the runes correctly to master even the greatest challenges?",₹ 690,"21 Dec, 2020",ziegler gamedev GbR,ziegler gamedev GbR,"Indie, Simulation, Strategy"
1470350,Quasar,"As species, we always needed a story to believe in, we need a hero to prevail, we need a challenge we can overcome, we need a tragedy to make us one.",N/A,Coming soon,GameOrb,GameOrb,"Action, Casual, Indie"
1470360,Bitpunky,"Bitpunky is a sandbox game of creating and developing your own digital civilization in the middle of a huge virtual space. Explore the outside world, use the resources of the virtual space for improving and automating processes within your futuristic city!",N/A,Coming soon,trieckaga,trieckaga,"Adventure, Indie, Simulation"
1470380,A Pretty Odd Bunny,A Pretty Odd Bunny is a stealth platformer about a rabbit who likes eating pigs. You play as a red-eyed rabbit and help him reach the pig at the end of every level. But don't let your fellow bunnies see you. They will do everything they can to stop you.,₹ 121,"11 Nov, 2021",AJ Ordaz Games,2Awesome Studio,"Action, Adventure, Indie"
1470390,City of Beats,"Shoot. Groove. Loot. Repeat. Cross an ever-changing city skyline, flowing through encounters in tune with the cityscape’s beat. From the weapons you fire, to the enemies you shoot, to the zen-like flow, the only way to win is to become one with the beat.",₹ 880,"1 May, 2023",Torched Hill,indie.io,"Action, Indie"
1470400,Cubiscape 2 - First Expansion Pack,Several new puzzle elements and a ton of new levels - this expansion pack improves on nearly everything that makes the game fun!,₹ 200,"5 Dec, 2020",Silver Eye Studios,Silver Eye Studios,"Casual, Strategy"
1470410,Good puzzle: Animals - Wallpapers,"This add-on allows you to download all 12 art from the game, with animals!",₹ 250,"10 Nov, 2020",Laush Dmitriy Sergeevich,Laush Studio,"Casual, Indie"
1470420,Re:Turn 2 - Runaway,"Re:Turn 2 is a 2D psychological horror adventure game. The game follows on from the events of the first game. Saki and her fiancé, Sen, are trapped on an abandoned train that is haunted by an evil spirit that takes the form of a little girl named Ayumi.",₹ 299,"28 Jan, 2022",Red Ego Games,Red Ego Games,"Adventure, Indie"
1470430,VOENKOMAT,"VOENKOMAT is a social game. This game makes it possible to become a worst enemy of teens and guys from CIS countries - military comissar. You need to send to the army as many as possible soldiers, protect yours military HQ from foreign spies and save your soul from karmic devastation.",₹ 105,"7 Apr, 2023",pvt. Singer,pvt. Singer,"Adventure, Indie, Simulation"
1470480,Guns Blazing,"Descend your way through an abandoned laboratory, swarming with both mechanical and human enemies. Your mission? Wipe them all out. In this fast-paced, casual, sci-fi, FPS, your goal is to employ an arsenal of upgradable weapons to defeat your enemies and reach the bottom of this derelict facility.",₹ 199,"1 Dec, 2020",DevLiakos,DevLiakos,"Action, Casual, Indie"
1470540,Aleya's Ascent,"Aleya's Ascent is a metroidvania inspired by Celeste and Hollow Knight. Explore a cosmic mountain range and find strange temples, hidden labyrinths, and ancient artifacts while overcoming platforming challenges, punishing fights and chase sequences to return star fragments to the night sky.",N/A,Coming soon,Ursa Minor Games,Ursa Minor Games,"Action, Adventure, Indie"
1470550,Stranded,"Test your imagination. build stuff, kill things, explore endless amounts of sea, cave and island. go into it blind and you just might find your way out This is a fun survival island based game where the player finds themselves in a terrible situation out on sea and wakes up on a mysterious island.",₹ 52,"28 Jan, 2021",Mikayden Gutierrez,Mikayden Gutierrez,"Action, Adventure, Indie, Strategy"
1470600,The Tower Of TigerQiuQiu Hit Balls,AboutSmall mini billiards game. Win the game by hitting all the other colored balls into the hole with a white ball. Be careful not to let yourself fall in too.FeatureThe DLC include full 10 missions,₹ 155,"10 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1470630,The Tower Of TigerQiuQiu 4-way Dodge  the ball,"AboutAvoid throwing balls in four directions and be careful not to get hit by them. The pitcher is aiming at you, so you have to stay with your teammates and have them help you block the attack.FeatureThe DLC include full 10 missions",₹ 155,"10 Nov, 2020",TigerQiuQiu,TigerQiuQiu,"Action, Casual, Indie"
1470640,Our Life: Beginnings & Always Soundtrack,The relaxing tunes from Our Life: Beginnings &amp; Always. 20 tracks and over forty-five minutes of music.,₹ 329,"2 Dec, 2020",GB Patch Games,,
1470650,bullets,"In the game, players will play as pet trainers, get pets by talking to NPCs, gain experience by fighting monsters, and as the level is unlocked, the level of monsters will become higher and higher, until you defeat the legendary dragon to win.",N/A,"24 May, 2021",伊泽悦耳,伊泽悦耳,"Action, Adventure, Casual, Indie, RPG"
1470660,Amborettio,"Embark on a quest in Amborettio, a post-apocalyptic underworld teeming with mutants and mysteries. Unravel cryptic puzzles, battle fierce bosses, and forge alliances with the enigmatic Peace Keepers. Customize your journey with deep leveling, crafting, and strategic upgrades.",₹ 199,"21 Dec, 2020",Wanech,Wanech,"Adventure, Indie, RPG, Strategy"
1470680,Seiso Master KEN,A 2D action game full of speed. Various playable characters go through the flames and aim for whales.,₹ 199,"24 Dec, 2020",CircleKEN,CircleKEN,"Action, Indie"
1470690,Ritum Bitum,"Ritum Bitum is a 2-in-1 concept: it is a rhythm game and keyboard simulator. The speed, color and position of the letters are determined by your music. Enjoy music while learning keyboard techniques.",₹ 349,"11 May, 2021",Askar Lutfrakhmanov,Askar Lutfrakhmanov,"Casual, Indie"
1470720,Misery Street,A place where lost souls go to find the meaning of their lives.,₹ 300,"6 Aug, 2021",Aleksandar Đuričić,Aleksandar Đuričić,"Adventure, Indie, RPG"
1470730,Russian Reality,Meet the new satirical beat em up on the theme of Russia! You will find a deep storyline and a unique combat system in which you can make your own combinations based on the main hits and special moves.,₹ 530,"11 Dec, 2020",Echpochmak Studio,Echpochmak Studio,"Action, Adventure, Indie"
1470750,MAGIC POT&TER BATTLEGROUNDS,"Fight in pvp, go through a maze with traps.","₹ 7,900","4 May, 2021",Hede,Hede,"Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation, Strategy, Early Access"
1470790,Doug Flutie's Maximum Football 2020,"Achieve Gridiron Greatness as Doug Flutie and Maximum Football 2020, bring you the ultimate football sandbox.",₹ 699,"29 Dec, 2020",Canuck Play Inc,Canuck Play Inc,"Indie, Sports"
1470800,"BEAR, VODKA, BALALAIKA: call of Chernobyl","After the liberation of Berlin, you won the WW2. But enemies are advancing again and this time the Motherland sent you to fight with zombie troops to the 4th nuclear reactor of Chernobyl...",N/A,Coming soon,Rabotiagi games,Rabotiagi games,"Action, Adventure, Indie, RPG, Simulation, Early Access"
1470860,Sun Warriors,"SUN WARRIORS is a frantic, hardcore, cooperative, twin stick shooter. The Moon Goddess, Aysel, is invading our world with a horde of creatures from the dark. As a son of the Sun God Naol, use the power of light to blast all enemies and stop the corruption that is invading our land.",N/A,"14 Jul, 2022",Angry Avocado,ESAT,"Action, Adventure, Indie"
1470870,Because its hot! Prologue,Baba is you meet Getting over it to deliver the best pizza and make the best PROLOGUE in the world! (Cheese included),N/A,May 2021,Marginal act,Woo Foo games,"Adventure, Casual"
1470880,BakuMari,Crazy game with the building of towers in the most incredible situations. Ex-villain Explosion tries to redeem herself and helps a mysterious cubie.,N/A,To be announced,TERNOX,TERNOX,"Casual, Indie"
1470910,Blind_,"This game is a grid-based puzzle with a twist: The layout of each level is hidden from you at the start of every room. 60 levels filled with various puzzles. Make determinations on your surroundings, project your moves, utilize mechanics of teleportation, wraparounds and more!",₹ 42,"26 Nov, 2020",TRI-SYM,TRI-SYM,Indie
1470920,"Howdy, Jacob!","A dystopian find the hidden object game with full-motion video of puppets. Come spend some time with the chaotic crew of the &quot;Laughsail!&quot; television show, and make sure to eat your broccoli.",₹ 105,"17 Dec, 2020",SeedBolt Studios LLC,SeedBolt Studios LLC,Indie
